"Team","team","Country","Rank","Playoff"
"Crvena Zvezda Meridianbet Belgrade","CZB","Serbia",17,FALSE
"LDLC ASVEL Villeurbanne","ASV","France",16,FALSE
"Maccabi Playtika Tel Aviv","MTA","Israel",7,TRUE
"Partizan Mozzart Bet Belgrade","PAR","Serbia",11,FALSE
"Anadolu Efes Istanbul","EFE","Turkey",9,FALSE
"FC Barcelona","FCB","Spain",4,TRUE
"ALBA Berlin","BER","Germany",18,FALSE
"FC Bayern Munich","BAY","Germany",15,FALSE
"Virtus Segafredo Bologna","VIR","Italy",10,FALSE
"Zalgiris Kaunas","ZAL","Lithuania",14,FALSE
"EA7 Emporio Armani Milan","MIL","Italy",12,FALSE
"Fenerbahce Beko Istanbul","FEN","Turkey",6,TRUE
"Olympiacos Piraeus","OLY","Greece",5,TRUE
"Panathinaikos AKTOR Athens","PAN","Greece",2,TRUE
"Baskonia Vitoria-Gasteiz","BAS","Spain",8,TRUE
"Real Madrid","RMB","Spain",1,TRUE
"AS Monaco","ASM","France",3,TRUE
"Valencia Basket","VAL","Spain",13,FALSE
